ID,Country,Brand,Type,Package,Rating
1,IDN,Brand A,Seaweed Instant Noodle,Cup,5
2,KOR,Brand B,Beef Ramen,Cup,3.3
3,JPN,Brand C,Chicken Ramen,Cup,3.8
4,JPN,Brand D,Shoyu Ramen,Cup,5
5,JPN,Brand E,Miso Ramen,Cup,5
6,SGP,Brand F,Curry Ramen,Cup,3.5
7,THA,Brand G,Tom Yum Ramen,Cup,5
8,USA,Brand A,Chicken Instant Noodle,Cup,4
9,KOR,Brand B,Mushroom Instant Noodle,Cup,5
10,JPN,Brand C,Beef and Mushroom Instant Noodle,Cup,4.8
11,JPN,Brand D,Kimchi Ramen,Cup,4.3
12,JPN,Brand E,Shoyu Ramen,Cup,2
13,JPN,Brand F,Shoyu Ramen,Cup,2
14,JPN,Brand G,Shoyu Ramen,Cup,3.8
15,JPN,Brand A,Tantannen,Cup,3.8
16,TWN,Brand B,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,1
17,USA,Brand C,Cup Noodles Chicken Vegetable,Cup,2.3
18,TWN,Brand D,GGE Ramen Snack Tomato Flavor,Pack,2.8
19,IDN,Brand E,SGP Curry,Pack,3.8
20,KOR,Brand F,Kimchi song Song Ramen,Pack,4.8
21,JPN,Brand A,Spice Deli Tantan Men With Cilantro,Cup,4
22,JPN,Brand B,Nabeyaki Kitsune Udon,Tray,3.8
23,JPN,Brand C,Hokkaido Soy Sauce Ramen,Pack,0.3
24,SGP,Brand D,The Original Spicy Stir-Fried Noodles,Pack,2.5
25,THA,Brand E,Creamy tom Yum Kung Flavour,Pack,5
26,USA,Brand F,Yokohama Tonkotsu Shoyu,Pack,5
27,KOR,Brand G,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,4.3
28,JPN,Brand A,Deka Buto Kimchi Pork Flavor,Bowl,4.5
29,HKG,Brand B,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,5
30,SGP,Brand C,Mushroom Flavour Instant Noodles,Cup,3.5
31,IDN,Brand D,Mario Masala Noodles,Pack,3.8
32,USA,Brand E,Tokyo Shoyu Ramen,Pack,5
33,VNM,Brand F,Mi Hai Cua,Pack,4
34,KOR,Brand G,Premium Gomtang,Pack,4
35,HKG,Brand A,Cup Noodles Laksa Flavour,Cup,4.3
36,USA,Brand B,Beef Ramen,Pack,5
37,SGP,Brand C,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,5
38,USA,Brand D,Sapporo Miso Ramen,Pack,4.8
39,IDN,Brand E,Hot Garlic Instant Noodles,Pack,4.3
40,KOR,Brand F,Song Song Kimchi Big Bowl,Bowl,4.3
41,Ghana,Brand A,Instant Noodles Beef In Light Soup Flavour,Pack,3.5
42,JPN,Brand B,Hakata Ramen Noodle White Tonkotsu,Bowl,4.8
43,MYS,Brand C,Penang White Curry Rice Vermicelli Soup,Bowl,5
44,SGP,Brand D,Signature Tom Yum Flavor Instant Noodles,Pack,4
45,KOR,Brand E,Paegaejang Ramen,Pack,5
46,IDN,Brand F,Gekikara Ramen Extra Hot Ramen Goreng,Pack,4.5
47,KOR,Brand G,Plain Instant Noodle No Soup Included,Pack,#VALUE!
48,CHN,Brand A,Chongqing Spicy Hot Noodles,Bowl,4
49,JPN,Brand B,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,3.8
50,SGP,Brand C,Instant Noodles Laksa Singapura Flavour,Pack,5
51,USA,Brand D,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,1.5
52,SGP,Brand E,Curry Flavour Instant Noodles,Cup,5
53,JPN,Brand F,Super Cup Yochan Ika Yakisoba,Tray,1.5
54,USA,Brand G,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,5
55,TWN,Brand A,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,3.3
56,HKG,Brand B,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,3.8
57,USA,Brand C,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,5
58,SGP,Brand D,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,5
59,Ghana,Brand E,Instant Noodles Beef,Pack,3.5
60,USA,Brand F,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,5
61,JPN,Brand A,Hokkaido Hakodate Shoyu Ramen,Pack,4
62,KOR,Brand B,Shin Ramyun Black,Pack,5
63,JPN,Brand C,Nippon Onomichi Ramen,Bowl,4.8
64,CHN,Brand D,Pickled Cabbage Beef,Pack,4.3
65,KOR,Brand E,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,2
66,JPN,Brand F,Gotsumori Chanpon Ramen,Bowl,4.5
67,SGP,Brand G,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,5
68,VNM,Brand A,Mushroom Flavor,Pack,0
69,KOR,Brand B,Jjamppong Big Bowl,Bowl,4.5
70,JPN,Brand C,Curry Udon,Pack,3.5
71,SGP,Brand D,Straits Reborn Laksa,Pack,5
72,KOR,Brand E,Budae Jjigae Noodle Soup,Pack,4.5
73,JPN,Brand F,Hearty JPNese Style Curry Udon,Pack,5
74,SGP,Brand G,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,4.5
75,SGP,Brand A,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,5
76,KOR,Brand B,Anchovy Flavor Guava Rice Noodles,Tray,1
77,JPN,Brand C,Umami Ramen,Pack,4
78,JPN,Brand D,Nabeyaki Tempura Udoin,Bowl,4.5
79,JPN,Brand E,Hokkaido Hakodate Miso Ramen,Pack,3.5
80,TWN,Brand F,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,5
81,JPN,Brand A,Kirin Giraffe Shoyu Ramen,Pack,4.5
82,USA,Brand B,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,3.5
83,TWN,Brand C,Dan Dan Noodle,Pack,5
84,KOR,Brand D,Samyang Ramen Classic Edition,Bowl,5
85,MYS,Brand E,Penang Red Tom Yum Goong Noodle,Pack,5
86,IDN,Brand F,Hot Heads Green Chilli Noodles,Pack,3.5
87,KOR,Brand G,Mala Buldak Bokkeummyun,Pack,3.8
88,IDN,Brand A,RMy Noodlez Rumput Laut,Pack,4
89,SGP,Brand B,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,3.8
90,JPN,Brand C,Super Cup Torigawa Shoyu,Bowl,3.5
91,KOR,Brand D,Shin Ramyun,Pack,3
92,CHN,Brand E,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,0
93,NGA,Brand F,Onion Chicken Flavor,Pack,1.5
94,TWN,Brand G,Toona Paste Noodle,Pack,4
95,MYS,Brand A,Supreme Creamy Tom Yum Noodle,Box,5
96,SGP,Brand B,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,5
97,DEU,Brand C,Demae Ramen Spicy Beef,Pack,3.8
98,DEU,Brand D,Cup Noodles Spicy,Cup,3.8
99,DEU,Brand E,Soba Thai,Pack,4.5
100,DEU,Brand F,Cup Noodles Huhn (Chicken),Cup,3.8
101,DEU,Brand A,Demae Ramen Korean Kimchi,Pack,3.5
102,DEU,Brand B,Cup Noodles Curry,Cup,3.8
103,HUN,Brand C,Smack Chili,Pack,3.8
104,DEU,Brand D,Soba Yakitori Chicken,Cup,5
105,DEU,Brand E,Demae Ramen Garlic Chicken,Pack,3.5
106,DEU,Brand F,Cup Noodles Ente (Duck),Cup,3
107,DEU,Brand G,Demae Ramen Thai Tom Yum,Pack,3.8
108,DEU,Brand A,Soba Sukiyaki Beef,Cup,4.5
109,DEU,Brand B,Demae Ramen Spicy,Pack,3.5
110,DEU,Brand C,Cup Noodles Shrimps,Cup,3
111,DEU,Brand D,Demae Ramen Tokyo Soy Sauce,Pack,4
112,KOR,Brand E,Bul Jjamppong,Bowl,5
113,TWN,Brand F,Chicken With Chinese Shaoxing Wine,Pack,4.8
114,KOR,Brand G,Buldak Bokkeummyun,Cup,3.8
115,JPN,Brand A,Pork Wantan Men,Bowl,4.3
116,MYS,Brand B,Instant Noodles Chicken Flavour,Pack,4
117,TWN,Brand C,Scallion Oil & Soy Sauce Noodle,Pack,5
118,TWN,Brand D,Sichuan Spices Flavor Noodle,Pack,5
119,KOR,Brand E,Kimchi Stew Ramyun,Bowl,4
120,JPN,Brand F,Seimen Red Spicy Dandan Men,Bowl,4.8
121,KOR,Brand A,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,4.3
122,JPN,Brand B,Mini Instant Noodle Mild Curry Flavor,Pack,2
123,TWN,Brand C,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,3.5
124,HKG,Brand D,Cup Noodles Mini Seafood Flavour,Cup,5
125,USA,Brand E,Udon JPNese Style Noodles With Soup Base Hot & Sour Flavor,Pack,3.8
126,SGP,Brand F,Signature Curry Flavor Instant Noodles,Cup,3.5
127,JPN,Brand G,Dossari Yasai Chanpon,Cup,4.3
128,KOR,Brand A,Volcano Curry Kkokkomyun,Pack,3.5
129,HKG,Brand B,Instant Noodle King Pepper Duck Flavour Soup,Pack,4
130,CHN,Brand C,Cup Noodles XO Sauce Seafood,Cup,3.8
131,KOR,Brand D,Extreme Spicy Hot Chicken Flavor Udon,Bowl,2
132,IDN,Brand E,Gekikara Ramen Rasa Pedas,Pack,3.3
133,TWN,Brand F,Sesame Oil Chicken Noodle With Rice Wine,Bowl,5
134,JPN,Brand G,Hokkaido Hakodate Shio Ramen,Pack,4.5
135,USA,Brand A,Katsuo Bowl Udon,Bowl,5
136,JPN,Brand B,Cup Noodles MUG Shoyu & Seafood,Pack,3.5
137,KOR,Brand C,Sari Ramen,Pack,#VALUE!
138,SGP,Brand D,Instant Noodles Chicken Satay Flavour,Pack,3.5
139,SGP,Brand E,Signature Spicy SGP Fried Noodles Instant Noodles,Pack,4.3
140,SGP,Brand F,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,5
141,SGP,Brand A,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,3.3
142,SGP,Brand B,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,4.5
143,SGP,Brand C,Signature Laksa Singapura Instant Noodles,Bowl,5
144,SGP,Brand D,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,5
145,SGP,Brand E,Purple Wheat Noodles Chili & Lime Flavor,Pack,4
146,SGP,Brand F,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,5
147,SGP,Brand G,Seafood Flavor Instant Noodles,Cup,3.5
148,SGP,Brand A,Signature Stir-Fry Original Flavor Instant Noodles,Pack,3
149,SGP,Brand B,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,5
150,SGP,Brand C,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,4.3
151,SGP,Brand D,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,5
152,SGP,Brand E,Signature Chicken Flavor Instant Noodles,Cup,3.8
153,MEX,Brand F,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,3.5
154,JPN,Brand G,Penang Hokkien Prawn Flavor Noodle,Box,5
155,CHN,Brand A,Roasted Pork Noodle,Pack,4.5
156,TWN,Brand B,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,5
157,IDN,Brand C,Mi Goreng Original Flavour Fried Noodles,Pack,5
158,JPN,Brand D,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,4.5
159,HKG,Brand E,Artificial Dongpo's Braised Pork Flavour,Pack,4.8
160,VNM,Brand F,Lau Tom Chua Cay,Pack,3.5
161,TWN,Brand A,Old Beijing Fried Bean Sauce Noodle,Pack,4.3
162,JPN,Brand B,Cup Noodles IDN Mie Goreng,Cup,3.8
163,THA,Brand C,Yummy Spicy Rice Soup With Seafood,Bowl,3.5
164,USA,Brand D,Udon JPNese Style Fresh Noodle,Bowl,3.8
165,MYS,Brand E,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,5
166,JPN,Brand F,T's Restaurant Sura Tanmen,Cup,4
167,TWN,Brand G,Sesame Oil Chicken With Rice Wine Noodle,Bowl,5
168,JPN,Brand A,HALAL Chicken Shoyu Sauce Ramen,Pack,2.5
169,USA,Brand B,Vegan Pad Thai Noodle Soup,Cup,0
170,HKG,Brand C,Seafood Flavour Rice Vermicelli,Cup,5
171,KOR,Brand D,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,3.8
172,TWN,Brand E,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,3.5
173,MEX,Brand F,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,3.3
174,TWN,Brand G,Baseball Snack Noodle,Pack,5
175,CHN,Brand A,Cup Noodles Spicy Seafood Flavor,Cup,3.8
176,JPN,Brand B,Penang Red Tom Yum Goong,Box,5
177,JPN,Brand C,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,4.5
178,IDN,Brand D,Bihun Kuah Rasa Baso Sapi,Pack,3.8
179,CHN,Brand E,Hot & Sour Beef Noodles,Bowl,4.3
180,JPN,Brand F,Kitsune Udon Donbei (West),Bowl,5
181,TWN,Brand A,THA Green Curry Instant Noodle,Bowl,5
182,HKG,Brand B,Cup Noodles Beef Flavour,Cup,2.5
183,USA,Brand C,Sanukiya Udon Shrimp Flavor,Pack,3.3
184,USA,Brand D,Chicken Fajita Flavor Instant Ramen Noodles,Pack,3.8
185,USA,Brand E,Lamb Stew Flavor Instant Ramen Noodles,Pack,3.8
186,USA,Brand F,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,3.5
187,USA,Brand G,Chicken Taco Flavor Instant Ramen Noodles,Pack,3.8
188,TWN,Brand A,Chuan Wei Spicy Guan-miao Noodles,Pack,4.5
189,CHN,Brand B,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,0.3
190,HKG,Brand C,Cup Noodles Mini Spicy Seafood,Cup,4
191,SGP,Brand D,Penang Hokkien Prawn Noodle Soup,Pack,5
192,USA,Brand E,Yakisoba JPNese Style Noodle,Bowl,4.8
193,IDN,Brand F,Nutri-licious Pazzta Tomato Twist,Pack,3.8
194,CHN,Brand G,Chongqing Noodles Burning Dry Noodles,Bowl,5
195,SGP,Brand A,Cup Noodles Tom Yam Seafood Flavour,Cup,5
196,IDN,Brand B,My Noodles Mi Goreng Pizza Cheese,Pack,4
197,CHN,Brand C,Shaanxi Cold Noodle: Mustard Spicy,Tray,1
198,KOR,Brand D,Cheese Buldak Bokkeummyun (Black),Bowl,4
199,FJI,Brand E,2 Minute Noodles Chicken Flavour,Pack,3.3
200,CHN,Brand F,Chicken Flavor Instant Noolde,Pack,4.3
201,HKG,Brand A,Cup Noodles Prawn Flavour,Cup,3.8
202,JPN,Brand B,Hokkaido Miso Ramen,Pack,3
203,MYS,Brand C,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,5
204,KOR,Brand D,Jin Jjambbong Spicy Seafood Ramyun,Pack,5
205,HKG,Brand E,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,3.8
206,USA,Brand F,Imitation Chicken Flavor,Cup,4
207,CHN,Brand G,Three Fresh Delicacies Instant Noodle,Pack,4.3
208,HKG,Brand A,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,3.5
209,FJI,Brand B,2 Minute Noodles Curry Flavour,Pack,4
210,TWN,Brand C,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,4.8
211,CHN,Brand D,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,4.3
212,USA,Brand E,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,3.5
213,KOR,Brand F,Seaweed Instant Noodle,Cup,0.5
214,HKG,Brand G,Demae Iccho Seafood Flavour Instant Noodle,Cup,4.8
215,KOR,Brand A,Non-Fried Ramyun With Spicy Beef Broth,Pack,3.8
216,USA,Brand B,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,2.5
217,HKG,Brand C,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,4.5
218,MYS,Brand D,Penang White Curry Instant Noodle (JPN Version),Box,5
219,THA,Brand E,Disney Cuties Instant Chicken With Corn Flavour,Cup,3.3
